ipo_month,total_proceeds,pct_proceeds,number_of_deals,pct_deals,ipo_index,pct_chng
2018-11-01,975.25,-0.755583792,8,-0.619047619,341.2390476,-0.037506641
2018-10-01,3990.12,-0.05649286,21,0.4,354.5365217,-0.069935892
2018-09-01,4229.03,1.384163942,15,0.25,381.1957895,0.001872121
2018-08-01,1773.8,-0.340614406,12,-0.368421053,380.4834783,-0.01091647
2018-07-01,2690.08,-0.569168087,19,-0.366666667,384.6828571,0.004026876
2018-06-01,6243.92,-0.078367787,30,0.578947368,383.14,0.039378623
2018-05-01,6774.85,0.879944502,19,0.583333333,368.6240909,0.014998048
2018-04-01,3603.75,1.021523652,12,0.2,363.1771429,-0.016342445
2018-03-01,1782.69,-0.069242055,10,-0.090909091,369.2109524,0.018477482
2018-02-01,1915.31,-0.763317858,11,-0.5,362.5126316,-0.022425294
2018-01-01,8092.33,4.004502137,22,1,370.8285714,0.052143695
2017-12-01,1617.01,-0.582303953,11,-0.56,352.4505,0.024410838
2017-11-01,3871.26,-0.083443426,25,0.388888889,344.0519048,0.00691242
2017-10-01,4223.7,1.137727188,18,0.636363636,341.69,0.033552885
2017-09-01,1975.79,1.473602504,11,0.375,330.5975,0.028885616
2017-08-01,798.75,-0.671120352,8,-0.428571429,321.316087,-0.00500234
2017-07-01,2428.7,-0.508124343,14,-0.391304348,322.9315,0.01352601
2017-06-01,4937.63,0.12546271,23,0.352941176,318.6218182,0.014810246
2017-05-01,4387.2,0.107149076,17,0.0625,313.9718182,0.028149018
2017-04-01,3962.61,-0.443660716,16,0.454545455,305.3757895,0.005800135
2017-03-01,7122.65,8.441226373,11,0.375,303.6147826,0.00531017
2017-02-01,754.42,-0.850765932,8,-0.333333333,302.0110526,0.020997473
2017-01-01,5055.28,7.96135574,12,0.714285714,295.8,0.016228773
2016-12-01,564.12,1.57930593,7,1.333333333,291.0761905,0.030135934
2016-11-01,218.71,-0.943555942,3,-0.833333333,282.5609524,0.001282445
2016-10-01,3874.81,0.427927579,18,0.125,282.1990476,-0.011660913
2016-09-01,2713.59,1.523213539,16,1,285.5285714,0.00294556
2016-08-01,1075.45,-0.470727482,8,-0.272727273,284.69,0.02830187
2016-07-01,2031.94,1.544473246,11,0.222222222,276.8545,0.029466776
2016-06-01,798.57,-0.786506581,9,-0.5,268.93,0.008651406
2016-05-01,3740.49,0.528446215,18,1.25,266.6233333,-0.000622927
2016-04-01,2447.25,8.289591558,8,0.6,266.7895238,0.031937142
2016-03-01,263.44,-0.655237397,5,0.25,258.5327273,0.08241529
2016-02-01,764.12,8.409186061,4,1,238.848,-0.008101976
2016-01-01,81.21,-0.866056408,2,0,240.7989474,-0.072906901
2015-12-01,606.3,-0.573061242,2,-0.8,259.7354545,-0.038189605
2015-11-01,1420.11,0,10,0,270.0485,0.02648282
